,mpg,cylinders,displacement,horsepower,weight,accel,myear,origin,car
341,23.5,6,173.0,110.0,2725.,12.6,81,1,"""chevroletcitation"""
342,30.0,4,135.0,84.00,2385.,12.9,81,1,"""plymouthreliant"""
343,39.1,4,79.00,58.00,1755.,16.9,81,3,"""toyotastarlet"""
344,39.0,4,86.00,64.00,1875.,16.4,81,1,"""plymouthchamp"""
345,35.1,4,81.00,60.00,1760.,16.1,81,3,"""hondacivic1300"""
346,32.3,4,97.00,67.00,2065.,17.8,81,3,"""subaru"""
347,37.0,4,85.00,65.00,1975.,19.4,81,3,"""datsun210mpg"""
348,37.7,4,89.00,62.00,2050.,17.3,81,3,"""toyotatercel"""
349,34.1,4,91.00,68.00,1985.,16.0,81,3,"""mazdaglc4"""
350,34.7,4,105.0,63.00,2215.,14.9,81,1,"""plymouthhorizon4"""
351,34.4,4,98.00,65.00,2045.,16.2,81,1,"""fordescort4w"""
352,29.9,4,98.00,65.00,2380.,20.7,81,1,"""fordescort2h"""
353,33.0,4,105.0,74.00,2190.,14.2,81,2,"""volkswagenjetta"""
354,34.5,4,100.0,?,2320.,15.8,81,2,"""renault18i"""
355,33.7,4,107.0,75.00,2210.,14.4,81,3,"""hondaprelude"""
356,32.4,4,108.0,75.00,2350.,16.8,81,3,"""toyotacorolla"""
357,32.9,4,119.0,100.0,2615.,14.8,81,3,"""datsun200sx"""
358,31.6,4,120.0,74.00,2635.,18.3,81,3,"""mazda626"""
359,28.1,4,141.0,80.00,3230.,20.4,81,2,"""peugeot505sturbodiesel"""
360,30.7,6,145.0,76.00,3160.,19.6,81,2,"""volvodiesel"""
361,25.4,6,168.0,116.0,2900.,12.6,81,3,"""toyotacressida"""
362,24.2,6,146.0,120.0,2930.,13.8,81,3,"""datsun810maxima"""
363,22.4,6,231.0,110.0,3415.,15.8,81,1,"""buickcentury"""
364,26.6,8,350.0,105.0,3725.,19.0,81,1,"""oldsmobilecutlassls"""
365,20.2,6,200.0,88.00,3060.,17.1,81,1,"""fordgranadagl"""
366,17.6,6,225.0,85.00,3465.,16.6,81,1,"""chryslerlebaronsalon"""
367,28.0,4,112.0,88.00,2605.,19.6,82,1,"""chevroletcavalier"""
368,27.0,4,112.0,88.00,2640.,18.6,82,1,"""chevroletcavalierwagon"""
369,34.0,4,112.0,88.00,2395.,18.0,82,1,"""chevroletcavalier2-door"""
370,31.0,4,112.0,85.00,2575.,16.2,82,1,"""pontiacj2000sehatchback"""
371,29.0,4,135.0,84.00,2525.,16.0,82,1,"""dodgeariesse"""
372,27.0,4,151.0,90.00,2735.,18.0,82,1,"""pontiacphoenix"""
373,24.0,4,140.0,92.00,2865.,16.4,82,1,"""fordfairmontfutura"""
374,23.0,4,151.0,?,3035.,20.5,82,1,"""amcconcorddl"""
375,36.0,4,105.0,74.00,1980.,15.3,82,2,"""volkswagenrabbitl"""
376,37.0,4,91.00,68.00,2025.,18.2,82,3,"""mazdaglccustoml"""
377,31.0,4,91.00,68.00,1970.,17.6,82,3,"""mazdaglccustom"""
378,38.0,4,105.0,63.00,2125.,14.7,82,1,"""plymouthhorizonmiser"""
379,36.0,4,98.00,70.00,2125.,17.3,82,1,"""mercurylynxl"""
380,36.0,4,120.0,88.00,2160.,14.5,82,3,"""nissanstanzaxe"""
381,36.0,4,107.0,75.00,2205.,14.5,82,3,"""hondaaccord"""
382,34.0,4,108.0,70.00,2245,16.9,82,3,"""toyotacorolla"""
383,38.0,4,91.00,67.00,1965.,15.0,82,3,"""hondacivic"""
384,32.0,4,91.00,67.00,1965.,15.7,82,3,"""hondacivic(auto)"""
385,38.0,4,91.00,67.00,1995.,16.2,82,3,"""datsun310gx"""
386,25.0,6,181.0,110.0,2945.,16.4,82,1,"""buickcenturylimited"""
387,38.0,6,262.0,85.00,3015.,17.0,82,1,"""oldsmobilecutlassciera(diesel)"""
388,26.0,4,156.0,92.00,2585.,14.5,82,1,"""chryslerlebaronmedallion"""
389,22.0,6,232.0,112.0,2835,14.7,82,1,"""fordgranadal"""
390,32.0,4,144.0,96.00,2665.,13.9,82,3,"""toyotacelicagt"""
391,36.0,4,135.0,84.00,2370.,13.0,82,1,"""dodgecharger2.2"""
392,27.0,4,151.0,90.00,2950.,17.3,82,1,"""chevroletcamaro"""
393,27.0,4,140.0,86.00,2790.,15.6,82,1,"""fordmustanggl"""
394,44.0,4,97.00,52.00,2130.,24.6,82,2,"""vwpickup"""
395,32.0,4,135.0,84.00,2295.,11.6,82,1,"""dodgerampage"""
396,28.0,4,120.0,79.00,2625.,18.6,82,1,"""fordranger"""
397,31.0,4,119.0,82.00,2720.,19.4,82,1,"""chevys-10"""
